Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
FGS,FGS1_FULL_OSS,,OSS,QUAD,2048,2048,,,2048,2048,,,,,207.190000,-697.500000,-1.250800,1,0,1,91.6868,178.7492,-69.0100,70.2940,71.8255,-70.3952,72.3452,68.9510,-75.8935,-70.8365,2014-01-01,
FGS,FGS1_FULL,,FULLSCA,QUAD,2048,2048,,,2048,2048,,,,,207.190000,-697.500000,,-1,180,1,-88.3132,-1.2508,-71.8255,70.3952,69.0100,-70.2940,-75.8935,-70.8365,72.3452,68.9510,2014-01-01,
FGS,FGS2_FULL_OSS,,OSS,QUAD,2048,2048,,,2048,2048,,,,,24.430000,-697.500000,0.190300,1,0,1,89.0527,0.1903,-70.9679,70.1231,68.7664,-69.5230,-74.4741,-71.6592,71.3855,69.4912,2014-01-01,
FGS,FGS2_FULL,,FULLSCA,QUAD,2048,2048,,,2048,2048,,,,,24.430000,-697.500000,,-1,0,-1,-90.9473,0.1903,-70.1231,70.9679,69.5230,-68.7664,-71.6592,-74.4741,69.4912,71.3855,2014-01-01,
FGS,FGS1_SUB128LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,128,128,,,,,140.972228,-631.034122,,-1,180,1,-88.8557,-0.6259,-4.2648,4.3580,4.2589,-4.3563,-4.4577,-4.2863,4.4497,4.2809,2014-01-01,
FGS,FGS1_SUB128DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,128,128,,,,,173.846560,-663.974976,,-1,180,1,-88.6250,-0.8989,-4.3177,4.3685,4.3097,-4.3674,-4.5282,-4.3188,4.5177,4.3125,2014-01-01,
FGS,FGS1_SUB128CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,128,128,,,,,207.190000,-697.500000,,-1,180,1,-88.3132,-1.2508,-4.3896,4.3843,4.3788,-4.3840,-4.6198,-4.3583,4.6062,4.3510,2014-01-01,
FGS,FGS1_SUB32LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,32,32,,,,,140.972228,-631.034122,,-1,180,1,-88.8557,-0.6259,-1.0656,1.0893,1.0653,-1.0892,-1.1137,-1.0710,1.1132,1.0707,2014-01-01,
FGS,FGS1_SUB32DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,32,32,,,,,173.846560,-663.974976,,-1,180,1,-88.6250,-0.8989,-1.0787,1.0920,1.0782,-1.0920,-1.1311,-1.0791,1.1304,1.0787,2014-01-01,
FGS,FGS1_SUB32CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,32,32,,,,,207.190000,-697.500000,,-1,180,1,-88.3132,-1.2508,-1.0964,1.0960,1.0957,-1.0960,-1.1537,-1.0889,1.1528,1.0884,2014-01-01,
FGS,FGS1_SUB8LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,8,8,,,,,140.972228,-631.034122,,-1,180,1,-88.8557,-0.6259,-0.2664,0.2723,0.2664,-0.2723,-0.2784,-0.2677,0.2783,0.2677,2014-01-01,
FGS,FGS1_SUB8DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,8,8,,,,,173.846560,-663.974976,,-1,180,1,-88.6250,-0.8989,-0.2696,0.2730,0.2696,-0.2730,-0.2827,-0.2697,0.2827,0.2697,2014-01-01,
FGS,FGS1_SUB8CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,8,8,,,,,207.190000,-697.500000,,-1,180,1,-88.3132,-1.2508,-0.2740,0.2740,0.2740,-0.2740,-0.2883,-0.2722,0.2883,0.2721,2014-01-01,
FGS,FGS2_SUB128LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,128,128,,,,,-42.239339,-766.973055,,-1,0,-1,-91.7433,1.0556,-4.3828,4.5297,4.3819,-4.5151,-4.5052,-4.7800,4.4944,4.7608,2014-01-01,
FGS,FGS2_SUB128DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,128,128,,,,,-8.583815,-731.807926,,-1,0,-1,-91.2928,0.5760,-4.3651,4.4311,4.3635,-4.4198,-4.4484,-4.6494,4.4389,4.6342,2014-01-01,
FGS,FGS2_SUB128CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,128,128,,,,,24.430000,-697.500000,,-1,0,-1,-90.9473,0.1903,-4.3527,4.3557,4.3504,-4.3473,-4.4008,-4.5465,4.3924,4.5346,2014-01-01,
FGS,FGS2_SUB32LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,32,32,,,,,-42.239339,-766.973055,,-1,0,-1,-91.7433,1.0556,-1.0956,1.1310,1.0955,-1.1301,-1.1253,-1.1932,1.1246,1.1920,2014-01-01,
FGS,FGS2_SUB32DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,32,32,,,,,-8.583815,-731.807926,,-1,0,-1,-91.2928,0.5760,-1.0911,1.1067,1.0910,-1.1060,-1.1112,-1.1609,1.1106,1.1600,2014-01-01,
FGS,FGS2_SUB32CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,32,32,,,,,24.430000,-697.500000,,-1,0,-1,-90.9473,0.1903,-1.0879,1.0881,1.0878,-1.0876,-1.0994,-1.1355,1.0989,1.1347,2014-01-01,
FGS,FGS2_SUB8LL,,SUBARRAY,QUAD,2048,2048,64.50,64.50,8,8,,,,,-42.239339,-766.973055,,-1,0,-1,-91.7433,1.0556,-0.2739,0.2827,0.2739,-0.2826,-0.2813,-0.2982,0.2812,0.2981,2014-01-01,
FGS,FGS2_SUB8DIAG,,SUBARRAY,QUAD,2048,2048,544.50,544.50,8,8,,,,,-8.583815,-731.807926,,-1,0,-1,-91.2928,0.5760,-0.2728,0.2766,0.2728,-0.2766,-0.2777,-0.2901,0.2777,0.2901,2014-01-01,
FGS,FGS2_SUB8CNTR,,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,8,8,,,,,24.430000,-697.500000,,-1,0,-1,-90.9473,0.1903,-0.2720,0.2720,0.2720,-0.2719,-0.2748,-0.2838,0.2748,0.2838,2014-01-01,
FGS,FGS1_FP1MIMF,,FULLSCA,QUAD,2048,2048,1036.00,1054.00,2048,2048,,,,,208.023661,-699.573277,,-1,180,1,0.0000,0.0000,-71.0373,71.1834,69.7982,-69.5058,-73.8025,-68.7456,74.4362,71.0420,2014-01-01,
FGS,FGS1_FP2MIMF,,FULLSCA,QUAD,2048,2048,100.00,1948.00,2048,2048,,,,,145.080483,-762.631517,,-1,180,1,0.0000,0.0000,-135.3420,6.8788,5.4936,-133.8104,-12.1333,-7.0763,136.1054,132.7112,2014-01-01,
FGS,FGS1_FP3MIMF,,FULLSCA,QUAD,2048,2048,1782.00,1599.00,2048,2048,,,,,260.706289,-738.860277,,-1,180,1,0.0000,0.0000,-19.2249,122.9959,121.6107,-17.6933,-33.3749,-28.3179,114.8638,111.4696,2014-01-01,
FGS,FGS1_FP4MIMF,,FULLSCA,QUAD,2048,2048,1960.00,90.00,2048,2048,,,,,269.993462,-633.148020,,-1,180,1,0.0000,0.0000,-7.6323,134.5885,133.2033,-6.1007,-138.8592,-133.8023,9.3795,5.9853,2014-01-01,
FGS,FGS1_FP5MIMF,,FULLSCA,QUAD,2048,2048,90.00,106.00,2048,2048,,,,,142.721295,-633.864680,,-1,180,1,0.0000,0.0000,-134.8898,7.3310,5.9458,-133.3582,-140.9210,-135.8640,7.3177,3.9236,2014-01-01,
FGS,FGS2_FP1MIMF,,FULLSCA,QUAD,2048,2048,1038.00,1032.00,2048,2048,,,,,25.349549,-696.964345,,-1,0,-1,0.0000,0.0000,-69.2054,71.8857,70.4407,-67.8486,-72.1979,-75.0128,68.9525,70.8468,2014-01-01,
FGS,FGS2_FP2MIMF,,FULLSCA,QUAD,2048,2048,327.00,377.00,2048,2048,,,,,-23.695630,-744.047018,,-1,0,-1,0.0000,0.0000,-118.0939,22.9971,21.5522,-116.7371,-24.9526,-27.7675,116.1978,118.0921,2014-01-01,
FGS,FGS2_FP3MIMF,,FULLSCA,QUAD,2048,2048,1948.00,100.00,2048,2048,,,,,87.395563,-762.270637,,-1,0,-1,0.0000,0.0000,-6.9428,134.1482,132.7033,-5.5860,-7.0980,-9.9129,134.0523,135.9467,2014-01-01,
FGS,FGS2_FP4MIMF,,FULLSCA,QUAD,2048,2048,1948.00,1948.00,2048,2048,,,,,86.720360,-633.233993,,-1,0,-1,0.0000,0.0000,-8.0466,133.0445,131.5995,-6.6898,-136.1317,-138.9466,5.0186,6.9130,2014-01-01,
FGS,FGS2_FP5MIMF,,FULLSCA,QUAD,2048,2048,100.00,1948.00,2048,2048,,,,,-38.123104,-634.562792,,-1,0,-1,0.0000,0.0000,-132.8849,8.2061,6.7612,-131.5281,-134.3883,-137.2032,6.7621,8.6564,2014-01-01,
*END*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Today,2016-04-07,
