Science to Ideal Polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci2IdlDeg,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlX50,Sci2IdlX51,Sci2IdlX52,Sci2IdlX53,Sci2IdlX54,Sci2IdlX55,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44,Sci2IdlY50,Sci2IdlY51,Sci2IdlY52,Sci2IdlY53,Sci2IdlY54,Sci2IdlY55,Idl2SciX00,Idl2SciX10,Idl2SciX11,Idl2SciX20,Idl2SciX21,Idl2SciX22,Idl2SciX30,Idl2SciX31,Idl2SciX32,Idl2SciX33,Idl2SciX40,Idl2SciX41,Idl2SciX42,Idl2SciX43,Idl2SciX44,Idl2SciX50,Idl2SciX51,Idl2SciX52,Idl2SciX53,Idl2SciX54,Idl2SciX55,Idl2SciY00,Idl2SciY10,Idl2SciY11,Idl2SciY20,Idl2SciY21,Idl2SciY22,Idl2SciY30,Idl2SciY31,Idl2SciY32,Idl2SciY33,Idl2SciY40,Idl2SciY41,Idl2SciY42,Idl2SciY43,Idl2SciY44,Idl2SciY50,Idl2SciY51,Idl2SciY52,Idl2SciY53,Idl2SciY54,Idl2SciY55
4,0.000000000000000E+00,6.850142322844000E-02,1.929879867024000E-17,4.724065965217000E-07,6.821876392827000E-07,1.641824601200000E-07,1.025407160387000E-10,2.616928295594000E-11,1.170000084003000E-10,7.913325033993000E-12,3.561420059016000E-15,6.179829559515000E-15,5.359907987848000E-15,6.435154618172000E-15,1.129456181101000E-15,,,,,,,0.000000000000000E+00,-2.018519748383000E-03,-7.005886361900000E-02,-2.887250141203000E-07,-3.871617096938000E-07,-9.859092008729000E-07,-1.086014422651000E-11,-1.174119579376000E-10,-3.182474003045000E-11,-1.305820478112000E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.459811950932000E+01,4.231682868439000E-05,-1.409972465201000E-03,2.046934802449000E-03,-4.889435429590000E-04,-4.181762105417000E-06,2.988743903890000E-08,-4.128259674106000E-06,4.898418418881000E-08,1.264509058500000E-10,-2.669969091907000E-10,1.776915066741000E-10,-1.230761251803000E-10,6.225217714775000E-11,,,,,,,0.000000000000000E+00,-4.206431092392000E-01,-1.427360514676000E+01,-8.081863683449000E-04,9.242058224788000E-04,-2.852938515351000E-03,2.135811633412000E-08,4.223333142585000E-06,5.004914557151000E-08,4.172363650093000E-06,8.594067395442000E-11,-1.603486256460000E-10,-1.076574228603000E-11,-1.010423927474000E-10,-5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.850142322844000E-02,0.000000000000000E+00,-4.724065965217000E-07,-6.821876392827000E-07,-1.641824601200000E-07,1.025407160387000E-10,2.616928295594000E-11,1.170000084003000E-10,7.913325033993000E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,2.018519748383000E-03,7.005886361900000E-02,-2.887250141203000E-07,-3.871617096938000E-07,-9.859092008729000E-07,1.086014422651000E-11,1.174119579376000E-10,3.182474003045000E-11,1.305820478112000E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.459811950932000E+01,-4.231682868028000E-05,1.409972465201000E-03,2.046934802449000E-03,4.889435429590000E-04,-4.181762105417000E-06,-2.988743903891000E-08,-4.128259674106000E-06,-4.898418418882000E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-4.206431092392000E-01,1.427360514676000E+01,8.081863683449000E-04,9.242058224788000E-04,2.852938515351000E-03,2.135811633413000E-08,-4.223333142585000E-06,5.004914557151000E-08,-4.172363650093000E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.799153890897000E-02,0.000000000000000E+00,-2.706376124839000E-07,-6.558868336079000E-07,-1.052678201286000E-07,9.512340105367000E-11,1.553238561880000E-11,1.113996303819000E-10,4.993157255919000E-12,-1.879861439744000E-15,-5.460774393217000E-15,-3.183522097701000E-15,-6.068028690175000E-15,-5.644043155773000E-16,,,,,,,0.000000000000000E+00,1.124251825108000E-03,6.982049767478000E-02,-2.687833876086000E-07,-2.138812587202000E-07,-9.650788156631000E-07,5.827794431030000E-12,1.109311883510000E-10,1.845446573021000E-11,1.277542579256000E-10,-1.557860345824000E-15,-2.468735514647000E-15,-9.115230817427000E-15,-2.865121669013000E-15,-7.831869248710000E-15,,,,,,,0.000000000000000E+00,1.470758074069000E+01,-8.209293070337000E-05,8.271584244828000E-04,2.021949634424000E-03,3.171975527407000E-04,-4.180118463580000E-06,-5.892372921241000E-08,-4.130190468700000E-06,-2.883722346169000E-08,3.960726866739000E-11,-2.741592756941000E-11,-1.289142763909000E-10,-1.987879065708000E-10,1.034051776871000E-10,,,,,,,0.000000000000000E+00,-2.367901424868000E-01,1.432237448929000E+01,8.117667591930000E-04,5.199578583018000E-04,2.830059603967000E-03,1.402611175993000E-09,-4.240944484298000E-06,-1.347838520758000E-08,-4.185010222437000E-06,-1.362645617161000E-10,-8.656583497791000E-11,1.233270788081000E-10,8.393757808217000E-11,1.434914809822000E-10,,,,,,
4,0.000000000000000E+00,6.799153890897000E-02,0.000000000000000E+00,2.706376124839000E-07,-6.558868336079000E-07,1.052678201286000E-07,9.512340105367000E-11,-1.553238561880000E-11,1.113996303819000E-10,-4.993157255919000E-12,1.879861439744000E-15,-5.460774393217000E-15,3.183522097701000E-15,-6.068028690175000E-15,5.644043155773000E-16,,,,,,,0.000000000000000E+00,-1.124251825108000E-03,6.982049767478000E-02,-2.687833876086000E-07,2.138812587202000E-07,-9.650788156631000E-07,-5.827794431030000E-12,1.109311883510000E-10,-1.845446573021000E-11,1.277542579256000E-10,-1.557860345824000E-15,2.468735514647000E-15,-9.115230817427000E-15,2.865121669013000E-15,-7.831869248710000E-15,,,,,,,0.000000000000000E+00,1.470758074069000E+01,8.209293070337000E-05,-8.271584244828000E-04,2.021949634424000E-03,-3.171975527407000E-04,-4.180118463580000E-06,5.892372921241000E-08,-4.130190468700000E-06,2.883722346169000E-08,-3.960726866739000E-11,-2.741592756941000E-11,1.289142763909000E-10,-1.987879065708000E-10,-1.034051776871000E-10,,,,,,,0.000000000000000E+00,2.367901424868000E-01,1.432237448929000E+01,8.117667591930000E-04,-5.199578583018000E-04,2.830059603967000E-03,-1.402611175993000E-09,-4.240944484298000E-06,1.347838520758000E-08,-4.185010222437000E-06,-1.362645617161000E-10,8.656583497791000E-11,1.233270788081000E-10,-8.393757808217000E-11,1.434914809822000E-10,,,,,,
4,0.000000000000000E+00,6.733488559192870E-02,-7.445087152685810E-04,-1.936857350186240E-07,-4.619392729395910E-07,-5.804912354675090E-08,8.293222663494420E-11,-1.919649512131360E-12,8.817573976329650E-11,-2.601535134879960E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,1.329290326706260E-03,6.825922558071980E-02,-1.752907515585500E-07,-1.612968887956730E-07,-6.472535180627400E-07,-2.581807336579990E-13,8.710353192082330E-11,-1.064374786657840E-12,9.434205461459140E-11,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.484728987775460E+01,1.614303923387080E-01,5.881003439586460E-04,1.474298685068080E-03,2.075666167149190E-04,-4.232641344742720E-06,-1.058813925972270E-07,-4.176340066713820E-06,-7.386007140227680E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-2.901220081984320E-01,1.464582971854850E+01,5.213628047675790E-04,3.808460192484970E-04,2.006675528227980E-03,-1.178785309597850E-08,-4.253019511167380E-06,3.086236265579310E-08,-4.162823709234460E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.782483159946240E-02,-4.241561623730430E-04,-3.226164376886410E-07,-5.584042878459270E-07,-1.038715299361410E-07,9.273647133682210E-11,1.212481672190430E-11,1.025878740817980E-10,2.655894949556520E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,1.619577036022040E-03,6.905066345747770E-02,-2.243682747317510E-07,-2.590618894446040E-07,-7.995882681389880E-07,5.300981746426000E-12,1.022577449292120E-10,1.538018262189610E-11,1.124620512128960E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.474184828606100E+01,9.071403400406570E-02,9.980172425723480E-04,1.760164339698460E-03,3.482755456584820E-04,-4.207396444533110E-06,-6.817273672601040E-08,-4.152490652182840E-06,-6.152419360739710E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-3.456307212486360E-01,1.448007132269600E+01,6.645752749038130E-04,6.514224984922450E-04,2.426013639625100E-03,4.659066346043520E-09,-4.238279666426940E-06,4.037059599910080E-08,-4.167546346520360E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.850142322844000E-02,0.000000000000000E+00,-4.724065965217000E-07,-6.821876392827000E-07,-1.641824601200000E-07,1.025407160387000E-10,2.616928295594000E-11,1.170000084003000E-10,7.913325033993000E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,2.018519748383000E-03,7.005886361900000E-02,-2.887250141203000E-07,-3.871617096938000E-07,-9.859092008729000E-07,1.086014422651000E-11,1.174119579376000E-10,3.182474003045000E-11,1.305820478112000E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.459811950932000E+01,-4.231682868028000E-05,1.409972465201000E-03,2.046934802449000E-03,4.889435429590000E-04,-4.181762105417000E-06,-2.988743903891000E-08,-4.128259674106000E-06,-4.898418418882000E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-4.206431092392000E-01,1.427360514676000E+01,8.081863683449000E-04,9.242058224788000E-04,2.852938515351000E-03,2.135811633413000E-08,-4.223333142585000E-06,5.004914557151000E-08,-4.172363650093000E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.733488559192870E-02,-7.445087152685810E-04,-1.936857350186240E-07,-4.619392729395910E-07,-5.804912354675090E-08,8.293222663494420E-11,-1.919649512131360E-12,8.817573976329650E-11,-2.601535134879960E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,1.329290326706260E-03,6.825922558071980E-02,-1.752907515585500E-07,-1.612968887956730E-07,-6.472535180627400E-07,-2.581807336579990E-13,8.710353192082330E-11,-1.064374786657840E-12,9.434205461459140E-11,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.484728987775460E+01,1.614303923387080E-01,5.881003439586460E-04,1.474298685068080E-03,2.075666167149190E-04,-4.232641344742720E-06,-1.058813925972270E-07,-4.176340066713820E-06,-7.386007140227680E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-2.901220081984320E-01,1.464582971854850E+01,5.213628047675790E-04,3.808460192484970E-04,2.006675528227980E-03,-1.178785309597850E-08,-4.253019511167380E-06,3.086236265579310E-08,-4.162823709234460E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.782483159946240E-02,-4.241561623730430E-04,-3.226164376886410E-07,-5.584042878459270E-07,-1.038715299361410E-07,9.273647133682210E-11,1.212481672190430E-11,1.025878740817980E-10,2.655894949556520E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,1.619577036022040E-03,6.905066345747770E-02,-2.243682747317510E-07,-2.590618894446040E-07,-7.995882681389880E-07,5.300981746426000E-12,1.022577449292120E-10,1.538018262189610E-11,1.124620512128960E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.474184828606100E+01,9.071403400406570E-02,9.980172425723480E-04,1.760164339698460E-03,3.482755456584820E-04,-4.207396444533110E-06,-6.817273672601040E-08,-4.152490652182840E-06,-6.152419360739710E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-3.456307212486360E-01,1.448007132269600E+01,6.645752749038130E-04,6.514224984922450E-04,2.426013639625100E-03,4.659066346043520E-09,-4.238279666426940E-06,4.037059599910080E-08,-4.167546346520360E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
4,0.000000000000000E+00,6.850142322844000E-02,0.000000000000000E+00,-4.724065965217000E-07,-6.821876392827000E-07,-1.641824601200000E-07,1.025407160387000E-10,2.616928295594000E-11,1.170000084003000E-10,7.913325033993000E-12,-3.561420059016000E-15,-6.179829559515000E-15,-5.359907987848000E-15,-6.435154618172000E-15,-1.129456181101000E-15,,,,,,,0.000000000000000E+00,2.018519748383000E-03,7.005886361900000E-02,-2.887250141203000E-07,-3.871617096938000E-07,-9.859092008729000E-07,1.086014422651000E-11,1.174119579376000E-10,3.182474003045000E-11,1.305820478112000E-10,-1.900895960379000E-15,-3.978004658659000E-15,-9.818631562416000E-15,-4.874077158774000E-15,-8.218978938590000E-15,,,,,,,0.000000000000000E+00,1.459811950932000E+01,-4.231682868028000E-05,1.409972465201000E-03,2.046934802449000E-03,4.889435429590000E-04,-4.181762105417000E-06,-2.988743903891000E-08,-4.128259674106000E-06,-4.898418418882000E-08,-1.264509058500000E-10,-2.669969091907000E-10,-1.776915066741000E-10,-1.230761251803000E-10,-6.225217714775000E-11,,,,,,,0.000000000000000E+00,-4.206431092392000E-01,1.427360514676000E+01,8.081863683449000E-04,9.242058224788000E-04,2.852938515351000E-03,2.135811633413000E-08,-4.223333142585000E-06,5.004914557151000E-08,-4.172363650093000E-06,-8.594067395442000E-11,-1.603486256460000E-10,1.076574228603000E-11,-1.010423927474000E-10,5.921802441819000E-11,,,,,,
