Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
MIRI,MIRIM_FULL_OSS,,OSS,QUAD,1032,1024,693.50,512.50,1032,1024,693.50,512.50,,,,,,1,0,1,-85.554056,4.449705,,,,,,,,,2014-01-01,
MIRI,MIRIM_FULL,,FULLSCA,QUAD,1032,1024,693.50,512.50,1032,1024,693.50,512.50,,,,,,-1,0,1,-85.554056,4.449705,,,,,,,,,2014-01-01,
MIRI,MIRIM_ILLUM,,ROI,QUAD,1032,1024,693.50,512.50,668,1024,334.50,512.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_BRIGHTSKY,,SUBARRAY,QUAD,1032,1024,712.50,306.50,512,512,256.50,256.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SUB256,,SUBARRAY,QUAD,1032,1024,540.50,178.50,256,256,128.50,128.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SUB128,,SUBARRAY,QUAD,1032,1024,70.50,952.50,136,128,70.50,64.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SUB64,,SUBARRAY,QUAD,1032,1024,38.50,810.50,72,64,38.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SLITLESSPRISM,,SUBARRAY,QUAD,1032,1024,38.50,829.00,72,416,38.50,301.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SLITLESSUPPER,,ROI,QUAD,1032,1024,38.50,829.00,64,196,33.50,81.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SLITLESSLOWER,,ROI,QUAD,1032,1024,38.50,829.00,64,156,33.50,301.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_MASK1065,,SUBARRAY,QUAD,1032,1024,120.00,132.00,288,224,120.00,114.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_MASK1140,,SUBARRAY,QUAD,1032,1024,119.50,354.50,288,224,119.50,110.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_MASK1550,,SUBARRAY,QUAD,1032,1024,119.50,575.50,288,224,119.50,109.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_MASKLYOT,,SUBARRAY,QUAD,1032,1024,142.50,884.50,320,304,142.50,168.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TAMRS,,ROI,QUAD,1032,1024,966.50,960.50,128,128,62.50,64.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALRS,,ROI,QUAD,1032,1024,437.50,266.50,96,96,48.50,48.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TABLOCK,,ROI,QUAD,1032,1024,267.50,427.50,32,32,16.50,16.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_UL,,ROI,QUAD,1032,1024,70.50,952.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_UR,,ROI,QUAD,1032,1024,211.50,952.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_LL,,ROI,QUAD,1032,1024,65.50,813.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_LR,,ROI,QUAD,1032,1024,211.50,810.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_CUL,,ROI,QUAD,1032,1024,117.50,907.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_CUR,,ROI,QUAD,1032,1024,170.50,907.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_CLL,,ROI,QUAD,1032,1024,115.50,860.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TALYOT_CLR,,ROI,QUAD,1032,1024,171.50,860.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_UL,,ROI,QUAD,1032,1024,62.50,638.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_UR,,ROI,QUAD,1032,1024,174.50,627.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_LL,,ROI,QUAD,1032,1024,60.50,525.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_LR,,ROI,QUAD,1032,1024,170.50,518.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_CUL,,ROI,QUAD,1032,1024,106.50,591.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_CUR,,ROI,QUAD,1032,1024,133.50,587.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_CLL,,ROI,QUAD,1032,1024,104.50,563.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1550_CLR,,ROI,QUAD,1032,1024,133.50,560.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_UL,,ROI,QUAD,1032,1024,62.50,414.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_UR,,ROI,QUAD,1032,1024,174.50,411.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_LL,,ROI,QUAD,1032,1024,57.50,300.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_LR,,ROI,QUAD,1032,1024,170.50,296.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CUL,,ROI,QUAD,1032,1024,104.50,370.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CUR,,ROI,QUAD,1032,1024,137.50,369.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CLL,,ROI,QUAD,1032,1024,101.50,340.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CLR,,ROI,QUAD,1032,1024,133.50,338.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_UL,,ROI,QUAD,1032,1024,61.50,191.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
