Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
NIRCAM,NRCA1_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03114505,0.03133348,120.671376,-527.387665,-0.573843,1,0,1,89.524669,-0.573843,-32.0995,32.1719,31.7252,-31.6661,-32.1769,-32.2093,31.9246,32.1212,2014-01-01,
NIRCAM,NRCA2_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03076173,0.03086132,120.112090,-459.680558,-0.212057,1,0,1,-90.262814,179.787943,31.3796,-31.3135,-31.6667,31.7230,31.6116,31.6303,-31.6941,-31.5511,2014-01-01,
NIRCAM,NRCA3_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03128563,0.03145560,51.934455,-527.803414,0.185477,1,0,1,89.982484,0.185477,-32.3407,32.2239,31.7881,-31.8869,-32.5245,-32.1172,32.1778,32.1142,2014-01-01,
NIRCAM,NRCA4_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03086931,0.03094868,52.276773,-459.809697,0.057459,1,0,1,-89.973208,-179.942541,31.4051,-31.5084,-31.8555,31.7583,31.6434,31.7790,-31.8098,-31.6166,2014-01-01,
NIRCAM,NRCA5_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.06280561,0.06311047,86.103458,-493.227512,-0.089504,1,0,1,89.866710,-0.089504,-65.3235,65.2481,63.7219,-63.7700,-65.2670,-64.6665,64.4989,64.8713,2014-01-01,
NIRCAM,NRCB1_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03068902,0.03081289,-120.968203,-457.752680,0.375008,1,0,1,-89.613125,-179.624992,31.2396,-31.3089,-31.6479,31.5891,31.6040,31.5440,-31.5211,-31.6205,2014-01-01,
NIRCAM,NRCB2_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03110827,0.03130320,-121.144349,-525.458174,0.830079,1,0,1,90.783388,0.830079,-32.1318,32.0601,31.6302,-31.6892,-32.1452,-32.1731,32.0645,31.9238,2014-01-01,
NIRCAM,NRCB3_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03082396,0.03091327,-53.123823,-457.780381,-0.485114,1,0,1,-90.383285,179.514886,31.4622,-31.3604,-31.7116,31.8069,31.7042,31.6500,-31.5410,-31.8091,2014-01-01,
NIRCAM,NRCB4_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.03125389,0.03144571,-52.818167,-525.727255,-0.344918,1,0,1,89.925408,-0.344918,-32.1911,32.3041,31.8541,-31.7580,-32.0679,-32.5472,32.0678,32.2086,2014-01-01,
NIRCAM,NRCB5_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.06290586,0.06321909,-89.389195,-491.443963,-0.008844,1,0,1,-89.900331,179.991156,63.8565,-63.8473,-65.3690,65.4040,64.9107,64.7051,-64.7045,-65.4314,2014-01-01,
