,xSci offset,ySci offset,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44
NIS_CEN_OSS,0,0,0.0,6.539782763411E-02,1.279358563533E-17,2.391295979619E-08,6.227307168671E-09,2.597786558745E-09,-2.611155938765E-12,5.939110906907E-12,-8.472832185944E-12,6.735206681191E-13,-1.690745309192E-15,-8.332893794377E-15,-1.56E-15,-7.56E-15,-2.23E-16,0.0,-3.01E-04,-6.59E-02,4.91E-08,2.69E-08,4.38E-09,-1.19E-12,1.43E-11,-1.55E-12,2.88E-11,-1.56E-15,-9.00E-16,-9.38E-15,-2.30E-17,-1.75E-14
NIS_CEN,0,0,0.0,6.539782763411E-02,0.000000000000E+00,-2.391295979619E-08,-6.227307168671E-09,-2.597786558745E-09,-2.611155938765E-12,5.939110906907E-12,-8.472832185944E-12,6.735206681191E-13,1.690745309192E-15,8.332893794377E-15,1.56E-15,7.56E-15,2.23E-16,0.0,3.01E-04,6.59E-02,4.91E-08,2.69E-08,4.38E-09,1.19E-12,-1.43E-11,1.55E-12,-2.88E-11,-1.56E-15,-9.00E-16,-9.38E-15,-2.30E-17,-1.75E-14
NIS_AMI1,65.5,-983.5,4.3,6.538473150316E-02,8.349320284489E-06,-3.032452159507E-08,3.284745209665E-08,-5.29791E-09,-1.03636E-11,4.50683E-12,-3.05618E-11,2.90210E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-64.8,2.82931E-04,6.58691E-02,5.45028E-08,2.43619E-08,-1.19890E-08,1.66346E-12,3.96128E-12,3.84934E-13,3.99533E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_AMI2,37.5,-966.5,2.4,6.538695078163E-02,7.282021981215E-06,-2.938085963320E-08,3.157914699784E-08,-4.43656E-09,-1.04113E-11,3.85993E-12,-3.02638E-11,9.38276E-14,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-63.7,2.80294E-04,6.58681E-02,5.44216E-08,2.41689E-08,-9.99983E-09,1.82255E-12,3.71785E-12,9.09217E-13,3.87652E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_AMI3,37.5,-999.5,2.4,6.538587544093E-02,7.575109537398E-06,-2.950653790118E-08,3.360124499736E-08,-4.44439E-09,-1.06863E-11,3.75693E-12,-3.10119E-11,6.43603E-14,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-65.8,2.79497E-04,6.58688E-02,5.42887E-08,2.41088E-08,-1.39518E-08,1.85225E-12,4.33714E-12,9.11499E-13,4.10726E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_AMI4,79.5,-1000.5,5.2,6.538330684924E-02,9.005095844001E-06,-3.083991857731E-08,3.402270923029E-08,-5.74528E-09,-1.04106E-11,4.80376E-12,-3.09034E-11,3.80811E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-65.9,2.84042E-04,6.58699E-02,5.45014E-08,2.44681E-08,-1.40534E-08,1.59157E-12,4.24251E-12,1.23381E-13,4.11416E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_AMITA,61.5,-911.5,4.0,6.538718037401E-02,7.477086227361E-06,-2.987461369150E-08,2.852660982988E-08,-5.11254E-09,-9.79067E-12,4.63157E-12,-2.89422E-11,3.24279E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-60.0,2.84249E-04,6.58679E-02,5.47200E-08,2.43961E-08,-3.90451E-09,1.62358E-12,2.62090E-12,4.55021E-13,3.49190E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SOSSTA,930.5,174.5,60.8,6.535648139030E-02,3.583158368646E-06,-1.727562350286E-08,2.521679161519E-08,-5.05662E-09,5.13589E-12,2.97450E-11,-1.61310E-12,7.86001E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,11.8,3.89444E-04,6.59014E-02,4.11298E-08,-7.60186E-09,-2.05911E-08,-4.76586E-12,-2.01056E-11,-1.59280E-11,-4.10354E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS_OFFSET,-2.0,-3.4,-0.1,6.539794440952E-02,3.005077828122E-08,-2.391725722824E-08,-6.193043875311E-09,-2.58753E-09,-2.65301E-12,5.87850E-12,-8.55614E-12,6.55373E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-0.2,3.00504E-04,6.58932E-02,4.91710E-08,2.69860E-08,4.67234E-09,1.20177E-12,-1.42494E-11,1.58389E-12,-2.85749E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS64,992.0,992.0,64.9,6.538127757382E-02,1.400650969761E-05,1.032667511865E-08,4.179517130469E-08,1.61615E-08,1.23640E-11,3.38340E-11,1.71095E-11,9.05468E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,65.7,3.74775E-04,6.57450E-02,1.73723E-08,-3.80606E-08,-1.92342E-07,-5.88462E-12,-3.56132E-11,-1.71387E-11,-9.81974E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
