Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
NIRISS,NIS_CEN_OSS,NIS_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,,,-290.100000,-697.500000,-0.569986,1,0.0,1,89.693539,179.430014,-66.9330,66.9886,67.0017,-66.9461,67.9140,67.2415,-67.6514,-67.0919,2014-01-01,
NIRISS,NIS_CEN,NIS_CNTR,FULLSCA,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,,,-290.100000,-697.500000,-0.569986,-1,180.0,1,-90.306461,-0.569986,-67.0017,66.9461,66.9330,-66.9886,-67.6514,-67.0919,67.9140,67.2415,2014-01-01,
NIRISS,NIS_AMI1,NIS_AMI,SUBARRAY,QUAD,2048,2048,959.00,2008.00,80,80,46.00,41.00,,,-293.735317,-762.311788,-0.569986,-1,180.0,1,-90.306461,-0.569986,-2.9754,2.2553,2.2561,-2.9748,-2.6803,-2.6578,2.6118,2.5891,2014-01-01,
NIRISS,NIS_AMI2,NIS_AMI,SUBARRAY,QUAD,2048,2048,987.00,1991.00,80,80,18.00,58.00,,,-291.915797,-761.181751,-0.569986,-1,180.0,1,-90.306461,-0.569986,-1.1447,4.0860,4.0868,-1.1441,-3.7921,-3.7696,1.4998,1.4772,2014-01-01,
NIRISS,NIS_AMI3,NIS_AMI,SUBARRAY,QUAD,2048,2048,987.00,2024.00,80,80,18.00,25.00,,,-291.893929,-763.355299,-0.569986,-1,180.0,1,-90.306461,-0.569986,-1.1444,4.0863,4.0870,-1.1439,-1.6186,-1.5961,3.6737,3.6510,2014-01-01,
NIRISS,NIS_AMI4,NIS_AMI,SUBARRAY,QUAD,2048,2048,945.00,2025.00,80,80,60.00,24.00,,,-294.639400,-763.436650,-0.569986,-1,180.0,1,-90.306461,-0.569986,-3.8906,1.3401,1.3409,-3.8900,-1.5646,-1.5421,3.7277,3.7050,2014-01-01,
NIRISS,NIS_AMITA,NIS_AMI,SUBARRAY,QUAD,2048,2048,963.00,1936.00,64,64,32.00,33.00,,,-293.521522,-757.568036,-0.569986,-1,180.0,1,-90.306461,-0.569986,-2.0599,2.1248,2.1253,-2.0595,-2.1495,-2.1314,2.0842,2.0660,2014-01-01,
NIRISS,NIS_SOSSTA,NIS_CNTR,SUBARRAY,QUAD,2048,2048,94.00,850.00,64,64,33.00,33.00,,,-351.046558,-686.283309,-0.569986,-1,180.0,1,-90.306461,-0.569986,-2.1242,2.0586,2.0588,-2.1240,-2.1544,-2.1294,2.0882,2.0633,2014-01-01,
NIRISS,NIS_WFSS_OFFSET,NIS_CNTR,FULLSCA,QUAD,2048,2048,1026.50,1027.90,2048,2048,1022.50,1021.10,,,-289.966976,-697.723326,-0.569986,-1,180.0,1,-90.306461,-0.569986,-66.8709,67.0769,67.0639,-66.8579,-67.4270,-66.8675,68.1391,67.4664,2014-01-01,
NIRISS,NIS_WFSS64,NIS_CNTR,SUBARRAY,QUAD,2048,2048,32.50,32.50,2048,2048,2016.50,2016.50,,,-355.606946,-632.472638,-0.569986,-1,180.0,1,-90.306461,-0.569986,-131.5594,2.1270,2.0927,-131.7689,-133.3110,-132.4569,2.1158,1.4214,2014-01-01,
