Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
NIRSPEC,NRS1_FULL_OSS,NRS1_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.10324663,0.10533870,294.054813,-502.901911,139.155450,1,0.00,1,48.133502,139.155450,105.5208,-104.1228,-106.6586,107.4969,-104.9906,-108.0142,107.6142,111.4559,2014-01-01,
NIRSPEC,NRS1_FULL,NRS1_CNTR,FULLSCA,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.10326748,0.10532422,294.054813,-502.901911,139.155450,-1,0.00,1,48.133502,139.155450,-105.5208,104.1228,106.6586,-107.4969,-104.9906,-108.0142,107.6142,111.4559,2014-01-01,
NIRSPEC,NRS2_FULL_OSS,NRS2_CNTR,OSS,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.10331174,0.10536197,463.165228,-353.212474,-42.281773,1,0.00,1,-131.149897,-42.281773,107.7351,-106.6809,-104.1702,105.4672,-112.1581,-107.4270,108.2039,104.5758,2014-01-01,
NIRSPEC,NRS2_FULL,NRS2_CNTR,FULLSCA,QUAD,2048,2048,1024.50,1024.50,2048,2048,1024.50,1024.50,0.10331174,0.10536197,463.165228,-353.212474,137.718227,-1,180.00,1,48.850103,137.718227,-104.1702,105.4672,107.7351,-106.6809,-108.2039,-104.5758,112.1581,107.4270,2014-01-01,
NIRSPEC,NRS_S200A1_SLIT,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,332.136078,-479.224213,138.760590,-1,,,,,0.0964,0.0963,-0.0964,-0.0964,1.5320,-1.7424,-1.7408,1.5336,2014-01-01,
NIRSPEC,NRS_S200A2_SLIT,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,314.984863,-489.450562,138.832825,-1,,,,,0.0970,0.0970,-0.0970,-0.0971,1.5450,-1.7583,-1.7563,1.5471,2014-01-01,
NIRSPEC,NRS_S400A1_SLIT,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,321.871582,-477.938751,138.782761,-1,,,,,0.1974,0.1973,-0.1974,-0.1974,1.7729,-1.9864,-1.9828,1.7765,2014-01-01,
NIRSPEC,NRS_S1600A1_SLIT,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,321.531952,-473.679199,138.771439,-1,,,,,0.7996,0.7996,-0.7996,-0.7996,0.7947,-0.8084,-0.7946,0.8086,2014-01-01,
NIRSPEC,NRS_S200B1_SLIT,NRS2_CNTR,SLIT,QUAD,,,,,,,,,,,440.484924,-364.516174,138.158112,-1,,,,,0.1005,0.1005,-0.1005,-0.1006,1.5465,-1.7547,-1.7568,1.5444,2014-01-01,
NIRSPEC,NRS_FULL_IFU,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.150116,-498.124969,138.892975,-1,,,,,1.4859,1.4856,-1.6108,-1.6111,1.6314,-1.5613,-1.5229,1.6703,2014-01-01,
NIRSPEC,NRS_IFU_SLICE00,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.108093,-498.234131,138.893127,-1,,,,,0.0489,0.0489,-0.0545,-0.0545,1.5987,-1.5995,-1.5982,1.6000,2014-01-01,
NIRSPEC,NRS_IFU_SLICE01,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.185181,-498.165161,138.892761,-1,,,,,0.0488,0.0488,-0.0546,-0.0546,1.5987,-1.5995,-1.5982,1.6000,2014-01-01,
NIRSPEC,NRS_IFU_SLICE02,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.030975,-498.303131,138.893494,-1,,,,,0.0489,0.0489,-0.0545,-0.0545,1.5987,-1.5995,-1.5982,1.6000,2014-01-01,
NIRSPEC,NRS_IFU_SLICE03,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.262207,-498.096252,138.892395,-1,,,,,0.0487,0.0487,-0.0545,-0.0545,1.5986,-1.5995,-1.5982,1.6000,2014-01-01,
NIRSPEC,NRS_IFU_SLICE04,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.953796,-498.372192,138.893860,-1,,,,,0.0490,0.0490,-0.0545,-0.0545,1.5987,-1.5995,-1.5981,1.5999,2014-01-01,
NIRSPEC,NRS_IFU_SLICE05,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.339172,-498.027374,138.892029,-1,,,,,0.0486,0.0486,-0.0546,-0.0546,1.5986,-1.5994,-1.5982,1.5999,2014-01-01,
NIRSPEC,NRS_IFU_SLICE06,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.876556,-498.441315,138.894241,-1,,,,,0.0491,0.0491,-0.0545,-0.0545,1.5986,-1.5994,-1.5981,1.5999,2014-01-01,
NIRSPEC,NRS_IFU_SLICE07,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.416077,-497.958557,138.891663,-1,,,,,0.0485,0.0485,-0.0546,-0.0546,1.5985,-1.5993,-1.5981,1.5999,2014-01-01,
NIRSPEC,NRS_IFU_SLICE08,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.799316,-498.510437,138.894608,-1,,,,,0.0492,0.0492,-0.0545,-0.0545,1.5985,-1.5994,-1.5980,1.5997,2014-01-01,
NIRSPEC,NRS_IFU_SLICE09,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.492889,-497.889801,138.891281,-1,,,,,0.0484,0.0484,-0.0546,-0.0546,1.5984,-1.5992,-1.5980,1.5998,2014-01-01,
NIRSPEC,NRS_IFU_SLICE10,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.721985,-498.579620,138.894974,-1,,,,,0.0493,0.0493,-0.0544,-0.0544,1.5985,-1.5993,-1.5978,1.5996,2014-01-01,
NIRSPEC,NRS_IFU_SLICE11,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.569672,-497.821106,138.890915,-1,,,,,0.0483,0.0483,-0.0546,-0.0546,1.5982,-1.5990,-1.5979,1.5997,2014-01-01,
NIRSPEC,NRS_IFU_SLICE12,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.644653,-498.648834,138.895340,-1,,,,,0.0494,0.0494,-0.0544,-0.0544,1.5983,-1.5992,-1.5977,1.5995,2014-01-01,
NIRSPEC,NRS_IFU_SLICE13,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.646393,-497.752502,138.890549,-1,,,,,0.0482,0.0482,-0.0546,-0.0546,1.5980,-1.5989,-1.5978,1.5995,2014-01-01,
NIRSPEC,NRS_IFU_SLICE14,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.567291,-498.718079,138.895706,-1,,,,,0.0494,0.0494,-0.0544,-0.0544,1.5982,-1.5990,-1.5975,1.5993,2014-01-01,
NIRSPEC,NRS_IFU_SLICE15,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.723022,-497.683929,138.890182,-1,,,,,0.0481,0.0481,-0.0546,-0.0546,1.5979,-1.5987,-1.5976,1.5993,2014-01-01,
NIRSPEC,NRS_IFU_SLICE16,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.489868,-498.787354,138.896088,-1,,,,,0.0495,0.0495,-0.0543,-0.0543,1.5980,-1.5988,-1.5974,1.5991,2014-01-01,
NIRSPEC,NRS_IFU_SLICE17,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,300.799561,-497.615417,138.889816,-1,,,,,0.0481,0.0480,-0.0546,-0.0546,1.5977,-1.5984,-1.5974,1.5992,2014-01-01,
NIRSPEC,NRS_IFU_SLICE18,NRS1_CNTR,SLIT,QUAD,,,,,,,,,,,299.412445,-498.856628,138.896454,-1,,,,,0.0495,0.0495,-0.0543,-0.0543,1.5978,-1.5987,-1.5971,1.5989,2014-01-01,
