Science to Ideal Polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci2IdlDeg,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlX50,Sci2IdlX51,Sci2IdlX52,Sci2IdlX53,Sci2IdlX54,Sci2IdlX55,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44,Sci2IdlY50,Sci2IdlY51,Sci2IdlY52,Sci2IdlY53,Sci2IdlY54,Sci2IdlY55,Idl2SciX00,Idl2SciX10,Idl2SciX11,Idl2SciX20,Idl2SciX21,Idl2SciX22,Idl2SciX30,Idl2SciX31,Idl2SciX32,Idl2SciX33,Idl2SciX40,Idl2SciX41,Idl2SciX42,Idl2SciX43,Idl2SciX44,Idl2SciX50,Idl2SciX51,Idl2SciX52,Idl2SciX53,Idl2SciX54,Idl2SciX55,Idl2SciY00,Idl2SciY10,Idl2SciY11,Idl2SciY20,Idl2SciY21,Idl2SciY22,Idl2SciY30,Idl2SciY31,Idl2SciY32,Idl2SciY33,Idl2SciY40,Idl2SciY41,Idl2SciY42,Idl2SciY43,Idl2SciY44,Idl2SciY50,Idl2SciY51,Idl2SciY52,Idl2SciY53,Idl2SciY54,Idl2SciY55
5,-6.766024243397540E-02,6.371061788272570E-05,-4.967884326775750E-07,-2.953283669566590E-10,9.439852107911220E-10,-1.120867055742930E-10,7.912458560555490E-14,1.044169104687530E-14,9.244766720390750E-14,-9.214159585404150E-16,7.970547859445570E-18,-2.114476191585080E-18,2.601356881125440E-20,2.942508102596730E-19,-8.382931038413780E-18,-1.423149195850000E-21,2.892234638550000E-24,-2.005965899970000E-22,-5.097481876730000E-22,1.860119724250000E-22,7.713262510760000E-22,2.949790804958320E-01,-1.200020647610360E-06,6.682811028430710E-05,3.192465055767560E-10,-1.770315946084030E-10,1.286753940406690E-09,5.559662573504180E-15,7.181194928345250E-14,1.752884077928940E-14,4.592783004539600E-14,-3.111515162672780E-19,5.872436204641790E-18,-7.630235993266970E-18,1.847598187725790E-18,-1.406227779064560E-17,-2.835245499570000E-22,-1.411176065410000E-21,3.773064792190000E-23,-9.546042154140000E-22,-1.143267211540000E-21,6.115806980630000E-21,1.197570489650000E+03,1.635818399090000E+04,-1.497430464950000E+03,-1.632595577640000E+02,3.861046122380000E+02,7.933947897740000E+03,-8.780266542310000E+03,1.879179122160000E+03,-1.109193929360000E+04,-2.287928740410000E+04,-5.971505998450000E+03,9.663701491480000E+03,-6.920238192010000E+03,1.194262149360000E+04,3.250083392770000E+04,2.117192232070000E+04,1.484771480040000E+04,1.438685208040000E+03,8.178770104670000E+03,-5.274126013290000E+03,-1.770047234350000E+04,-4.489591947770000E+03,1.834109334670000E+02,1.287564201550000E+04,9.286400834050000E+02,-8.299600677470000E+02,2.512863477140000E+04,8.200911346920000E+02,-1.162425269870000E+04,4.354038657580000E+03,-9.225074164860000E+04,-2.153983556100000E+03,-6.849771664820000E+03,1.499556360230000E+04,-1.047620861010000E+04,1.428974949840000E+05,6.923621955630000E+03,1.787508895930000E+04,1.215617626180000E+04,-1.763816626010000E+03,9.316166699680000E+03,-8.750918124020000E+04
5,-6.766024243397540E-02,6.371061788272570E-05,-4.967884326775750E-07,-2.953283669566590E-10,9.439852107911220E-10,-1.120867055742930E-10,7.912458560555490E-14,1.044169104687530E-14,9.244766720390750E-14,-9.214159585404150E-16,7.970547859445570E-18,-2.114476191585080E-18,2.601356881125440E-20,2.942508102596730E-19,-8.382931038413780E-18,-1.423149195850000E-21,2.892234638550000E-24,-2.005965899970000E-22,-5.097481876730000E-22,1.860119724250000E-22,7.713262510760000E-22,2.949790804958320E-01,-1.200020647610360E-06,6.682811028430710E-05,3.192465055767560E-10,-1.770315946084030E-10,1.286753940406690E-09,5.559662573504180E-15,7.181194928345250E-14,1.752884077928940E-14,4.592783004539600E-14,-3.111515162672780E-19,5.872436204641790E-18,-7.630235993266970E-18,1.847598187725790E-18,-1.406227779064560E-17,-2.835245499570000E-22,-1.411176065410000E-21,3.773064792190000E-23,-9.546042154140000E-22,-1.143267211540000E-21,6.115806980630000E-21,1.197570489650000E+03,1.635818399090000E+04,-1.497430464950000E+03,-1.632595577640000E+02,3.861046122380000E+02,7.933947897740000E+03,-8.780266542310000E+03,1.879179122160000E+03,-1.109193929360000E+04,-2.287928740410000E+04,-5.971505998450000E+03,9.663701491480000E+03,-6.920238192010000E+03,1.194262149360000E+04,3.250083392770000E+04,2.117192232070000E+04,1.484771480040000E+04,1.438685208040000E+03,8.178770104670000E+03,-5.274126013290000E+03,-1.770047234350000E+04,-4.489591947770000E+03,1.834109334670000E+02,1.287564201550000E+04,9.286400834050000E+02,-8.299600677470000E+02,2.512863477140000E+04,8.200911346920000E+02,-1.162425269870000E+04,4.354038657580000E+03,-9.225074164860000E+04,-2.153983556100000E+03,-6.849771664820000E+03,1.499556360230000E+04,-1.047620861010000E+04,1.428974949840000E+05,6.923621955630000E+03,1.787508895930000E+04,1.215617626180000E+04,-1.763816626010000E+03,9.316166699680000E+03,-8.750918124020000E+04
5,7.166113170914080E-02,-6.372928825346610E-05,-1.601562885734960E-06,3.054406488126260E-10,9.593733546782870E-10,8.875593871098310E-11,-8.056224971748280E-14,3.394429869241740E-15,-8.966472822824670E-14,2.729689511335170E-15,-7.642989432259590E-18,-2.088652265487300E-18,-1.294360533005750E-18,-1.943224064271640E-18,-7.974950145009820E-18,1.423148878150000E-21,-2.992683341110000E-24,2.006197319300000E-22,5.097282679510000E-22,-1.860848723800000E-22,-7.713233042980000E-22,2.939166656195390E-01,-2.362558479511050E-07,-6.681459973305700E-05,3.169019160767530E-10,1.633293850005690E-10,1.288868667822830E-09,1.082047953447040E-14,-6.970349911952570E-14,1.541068916721760E-14,-4.538948393989780E-14,-3.421753794659640E-18,-6.513302974712960E-18,-7.381530419716340E-18,-2.342157153856860E-18,-1.657240044965960E-17,2.835456638620000E-22,1.411153303970000E-21,-3.777258149440000E-23,9.546743638870000E-22,1.142781338660000E-21,-6.115823803810000E-21,1.001475250330000E+03,-1.632081616160000E+04,1.414164286640000E+03,-1.185097313420000E+02,-8.988372623960000E+02,-7.360351349350000E+03,8.851760247050000E+03,5.649990025560000E+02,1.371363388130000E+04,2.091717203290000E+04,-6.032267146450000E+03,-9.725250001880000E+03,-7.590160819480000E+02,-1.785136327080000E+04,-2.917588626220000E+04,-2.038975164900000E+04,1.654630725910000E+04,-1.727204956780000E+03,4.074013260520000E+02,1.022207640710000E+04,1.546716185950000E+04,4.481798471320000E+03,-1.746932304480000E+02,-1.274180523000000E+04,-9.733151057970000E+02,7.416531833290000E+02,-2.605017310150000E+04,1.778167570240000E+03,1.197420018310000E+04,-3.963713350140000E+03,9.540266137460000E+04,2.769122252330000E+02,-9.887079568300000E+03,-1.596310793720000E+04,9.559099643110000E+03,-1.482522547140000E+05,-4.556090426050000E+02,-1.292785399550000E+04,1.498081308150000E+04,2.714143841500000E+03,-8.383591075460000E+03,9.112411767100000E+04
5,7.166113170914080E-02,6.372928825346610E-05,1.601562885734960E-06,3.054406488126260E-10,9.593733546782870E-10,8.875593871098310E-11,8.056224971748280E-14,-3.394429869241740E-15,8.966472822824670E-14,-2.729689511335170E-15,-7.642989432259590E-18,-2.088652265487300E-18,-1.294360533005750E-18,-1.943224064271640E-18,-7.974950145009820E-18,-1.423148878150000E-21,2.992683341110000E-24,-2.006197319300000E-22,-5.097282679510000E-22,1.860848723800000E-22,7.713233042980000E-22,2.939166656195390E-01,2.362558479511050E-07,6.681459973305700E-05,3.169019160767530E-10,1.633293850005690E-10,1.288868667822830E-09,-1.082047953447040E-14,6.970349911952570E-14,-1.541068916721760E-14,4.538948393989780E-14,-3.421753794659640E-18,-6.513302974712960E-18,-7.381530419716340E-18,-2.342157153856860E-18,-1.657240044965960E-17,-2.835456638620000E-22,-1.411153303970000E-21,3.777258149440000E-23,-9.546743638870000E-22,-1.142781338660000E-21,6.115823803810000E-21,-1.001475250330000E+03,1.632081616160000E+04,-1.414164286640000E+03,1.185097313420000E+02,8.988372623960000E+02,7.360351349350000E+03,-8.851760247050000E+03,-5.649990025560000E+02,-1.371363388130000E+04,-2.091717203290000E+04,6.032267146450000E+03,9.725250001880000E+03,7.590160819480000E+02,1.785136327080000E+04,2.917588626220000E+04,2.038975164900000E+04,-1.654630725910000E+04,1.727204956780000E+03,-4.074013260520000E+02,-1.022207640710000E+04,-1.546716185950000E+04,-4.481798471320000E+03,1.746932304480000E+02,1.274180523000000E+04,9.733151057970000E+02,-7.416531833290000E+02,2.605017310150000E+04,-1.778167570240000E+03,-1.197420018310000E+04,3.963713350140000E+03,-9.540266137460000E+04,-2.769122252330000E+02,9.887079568300000E+03,1.596310793720000E+04,-9.559099643110000E+03,1.482522547140000E+05,4.556090426050000E+02,1.292785399550000E+04,-1.498081308150000E+04,-2.714143841500000E+03,8.383591075460000E+03,-9.112411767100000E+04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
