InstrName	AperName	DDCName	AperType	V2Ref	V3Ref
NIRISS	NIS_CEN_OSS	NIS_CNTR	OSS	-290.100000	-697.500000
NIRISS	NIS_CEN	NIS_CNTR	FULLSCA	-290.100000	-697.500000
NIRISS	NIS_AMI1	NIS_AMI	SUBARRAY	-293.735317	-762.311788
NIRISS	NIS_AMI2	NIS_AMI	SUBARRAY	-291.915797	-761.181751
NIRISS	NIS_AMI3	NIS_AMI	SUBARRAY	-291.893929	-763.355299
NIRISS	NIS_AMI4	NIS_AMI	SUBARRAY	-294.639400	-763.436650
NIRISS	NIS_AMITA	NIS_AMI	SUBARRAY	-293.521522	-757.568036
NIRISS	NIS_SOSSTA	NIS_CNTR	SUBARRAY	-351.046558	-686.283309
NIRISS	NIS_WFSS_OFFSET	NIS_CNTR	FULLSCA	-289.966976	-697.723326
NIRISS	NIS_WFSS64	NIS_CNTR	SUBARRAY	-355.606946	-632.472638
NIRISS	NIS_WFSS64R	NIS_CNTR	SUBARRAY	-354.798256	-712.857164
NIRISS	NIS_WFSS64R3	NIS_CNTR	SUBARRAY	-355.429112	-650.070511
NIRISS	NIS_WFSS64C	NIS_CNTR	SUBARRAY	-275.805481	-632.103048
NIRISS	NIS_WFSS64C3	NIS_CNTR	SUBARRAY	-338.117847	-632.397558
NIRISS	NIS_WFSS128	NIS_CNTR	SUBARRAY	-352.469722	-635.582738
NIRISS	NIS_WFSS128R	NIS_CNTR	SUBARRAY	-352.707261	-712.848977
NIRISS	NIS_WFSS128R3	NIS_CNTR	SUBARRAY	-353.337217	-650.061952
NIRISS	NIS_WFSS128C	NIS_CNTR	SUBARRAY	-275.784605	-634.206813
NIRISS	NIS_WFSS128C3	NIS_CNTR	SUBARRAY	-338.096763	-634.501728
NIRISS	NIS_SUB64	NIS_CNTR	SUBARRAY	-355.606946	-632.472638
NIRISS	NIS_SUB128	NIS_CNTR	SUBARRAY	-353.493418	-634.567763
NIRISS	NIS_SUB256	NIS_CNTR	SUBARRAY	-349.266714	-638.759206
NIRISS	NIS_SUBAMPCAL	NIS_CNTR	SUBARRAY	-290.100000	-697.500000
NIRISS	NIS_SUBSTRIP96	NIS_CNTR	SUBARRAY	-351.046558	-686.283309
NIRISS	NIS_SUBSTRIP256	NIS_CNTR	SUBARRAY	-351.046558	-686.283309
NIRISS	NIS_FP1MIMF	NIS_CNTR	FULLSCA	-290.125160	-698.257909
NIRISS	NIS_FP2MIMF	NIS_CNTR	FULLSCA	-335.264093	-721.936626
NIRISS	NIS_FP3MIMF	NIS_AMI	FULLSCA	-228.039163	-751.618338
NIRISS	NIS_FP4MIMF	NIS_CNTR	FULLSCA	-246.863859	-641.647574
NIRISS	NIS_FP5MIMF	NIS_CNTR	FULLSCA	-351.148865	-636.892518
NIRISS	NIS_AMIFULL	NIS_AMI	FULLSCA	-293.735317	-762.311788
NIRISS	NIS_SOSSFULL	NIS_CNTR	FULLSCA-351.046558	-686.283309
